N,V,Tiempo
20,17,4430.43
20,18,4872.7
20,19,4360.54
20,20,4454.61
20,21,4496.05
20,22,4653.61
20,23,4791.67
20,24,4284.49
20,25,4265.74
21,1,8747.17
21,2,9584.28
21,3,9186.17
21,4,8725.35
21,5,8765.12
21,6,8654.43
21,7,8656.26
21,8,8725.81
21,9,8758.05
21,10,8693.24
21,11,8712.8
21,12,8654.23
21,13,8770.91
21,14,8709.38
21,15,8797.14
21,16,8663.46
21,17,8719.72
21,18,8713.05
21,19,8739.57
21,20,8672.74
21,21,8754.63
21,22,8767.75
21,23,8766.29
21,24,9229.62
21,25,8759
22,1,17684.7
22,2,17855.2
22,3,19284.4
22,4,17844.1
22,5,17831.7
22,6,18172.5
22,7,18345.6
22,8,18041
22,9,17760.8
22,10,18481.9
22,11,17656.8
22,12,17792.5
22,13,17832.7
22,14,17684.5
22,15,17781.7
22,16,17802.3
22,17,17727.1
22,18,17909
22,19,17681.5
22,20,17637.2
22,21,17806.2
22,22,17851.8
22,23,20326.9
22,24,21416.7
22,25,18476.6
23,1,36117.6
23,2,36186
23,3,35751.7
23,4,36106.7
23,5,35996.3
23,6,35950.3
23,7,35855.1
23,8,35990.1
23,9,36068.1
23,10,35993.8
23,11,35924.1
23,12,36170.5
23,13,35936.7
23,14,36022.6
23,15,36287.7
23,16,36076.4
23,17,36006.3
23,18,35909.4
23,19,35865.2
23,20,35641.2
23,21,36015.8
23,22,36122.4
23,23,35793.9
23,24,38163.9
23,25,35910.6
24,1,72990.8
24,2,73175.9
24,3,73778.7
24,4,73205.7
24,5,74187.3
24,6,73152.9
24,7,73279
24,8,72828.1
24,9,73253.9
24,10,73198.8
24,11,73585.2
24,12,73143.3
24,13,73448.5
24,14,73002.8
24,15,73285.7
24,16,73540.6
24,17,73434.4
24,18,73506.5
24,19,72828.8
24,20,72996.6
24,21,75136.6
24,22,72882.7
24,23,73417.2
24,24,73292.1
24,25,75842.6
25,1,148280
25,2,149204
25,3,152490
25,4,149494
25,5,148323
25,6,150885
25,7,152593
25,8,149150
25,9,152655
25,10,152786
25,11,149251
25,12,151262
25,13,149086
25,14,151724
25,15,149956
25,16,148933
25,17,149511
25,18,148611
25,19,151713
25,20,148833
25,21,152308
25,22,152785
25,23,151080
25,24,151515
25,25,149190
