N,V,Tiempo
31,66,0.184057
31,71,0.142011
31,76,0.273311
31,81,0.108071
31,86,0.169299
31,91,0.347714
31,96,0.287037
31,101,0.292808
31,106,0.354618
31,111,0.316166
31,116,0.3358
31,121,0.320267
31,126,0.373225
31,131,0.466137
31,136,0.532717
31,141,0.65955
31,146,0.926542
31,151,0.727839
31,156,0.700135
31,161,0.663045
31,166,0.605247
31,171,0.965466
31,176,0.996011
31,181,0.689099
31,186,0.592189
31,191,0.539635
31,196,0.566008
31,201,0.653146
31,206,1.10543
31,211,1.02165
31,216,0.914968
31,221,1.17999
31,226,0.66457
31,231,1.37135
31,236,1.31539
31,241,1.41286
31,246,1.05872
31,251,0.801104
31,256,0.837666
31,261,0.905561
31,266,0.885694
31,271,0.914867
31,276,1.31786
31,281,0.925764
31,286,0.961419
31,291,1.53325
31,296,0.992716
31,301,1.50811
31,306,1.13476
31,311,1.10367
31,316,1.09866
31,321,1.14426
31,326,1.0389
31,331,1.1582
31,336,1.15483
31,341,1.14409
31,346,1.16911
31,351,1.20801
31,356,1.18195
31,361,1.18615
31,366,1.94323
31,371,1.24643
31,376,1.24683
31,381,1.44168
31,386,1.32991
31,391,1.68954
31,396,1.40316
31,401,1.91229
31,406,1.60732
31,411,1.47392
31,416,1.90127
31,421,2.14786
31,426,2.65812
31,431,2.23456
31,436,2.14869
31,441,1.78308
31,446,2.24158
31,451,2.22797
31,456,2.22458
31,461,2.20641
31,466,1.80405
31,471,1.63253
31,476,1.72136
31,481,1.93582
31,486,2.35148
31,491,1.68626
31,496,2.03937
36,1,0.012336
36,6,0.01437
36,11,0.030256
36,16,0.046572
36,21,0.052602
36,26,0.101833
36,31,0.094685
36,36,0.059262
36,41,0.180791
36,46,0.086055
36,51,0.06284
36,56,0.397523
36,61,0.151562
36,66,0.242201
36,71,0.244028
36,76,0.223395
36,81,0.380655
36,86,0.272125
36,91,0.404164
36,96,0.350014
36,101,0.437267
36,106,0.416777
36,111,0.429951
36,116,0.503771
36,121,0.426158
36,126,0.415048
36,131,0.733901
36,136,0.53269
36,141,0.797489
36,146,0.63375
36,151,0.662852
36,156,0.891493
36,161,0.832038
36,166,0.752434
36,171,0.621608
36,176,0.876011
36,181,0.730884
36,186,0.897452
36,191,0.812543
36,196,0.804624
36,201,0.792203
36,206,1.15043
36,211,1.11335
36,216,1.26388
36,221,0.928135
36,226,0.980226
36,231,1.08698
36,236,1.35784
36,241,3.29524
36,246,1.7373
36,251,1.83214
36,256,1.0807
36,261,1.11245
36,266,1.16668
36,271,1.16476
36,276,1.23711
36,281,1.25311
36,286,1.30095
36,291,1.28727
36,296,1.17462
36,301,1.30039
36,306,1.34914
36,311,1.67745
36,316,1.35
36,321,1.52698
36,326,1.56064
