n,V,resultado,tiempo
0,600,-1,0.001825
0,600,-1,0.001825
0,600,-1,0.003137
0,600,-1,0.001838
0,600,-1,0.001863
0,600,-1,0.002112
0,600,-1,0.0022
0,600,-1,0.002025
0,600,-1,0.003187
0,600,-1,0.001675
0,700,-1,0.00175
0,700,-1,0.00165
0,700,-1,0.001763
0,700,-1,0.002275
0,700,-1,0.002162
0,700,-1,0.001663
0,700,-1,0.0016
0,700,-1,0.002138
0,700,-1,0.002025
0,700,-1,0.002338
0,700,-1,0.002313
0,700,-1,0.002587
0,700,-1,0.001738
0,700,-1,0.001813
0,700,-1,0.00165
0,700,-1,0.001787
0,700,-1,0.001725
0,700,-1,0.001887
0,700,-1,0.001925
0,700,-1,0.001638
0,800,-1,0.001775
0,800,-1,0.002062
0,800,-1,0.001812
0,800,-1,0.002437
0,800,-1,0.001788
0,800,-1,0.001876
0,800,-1,0.001837
0,800,-1,0.0023
0,800,-1,0.001525
0,800,-1,0.002675
0,800,-1,0.001912
0,800,-1,0.001775
0,800,-1,0.0019
0,800,-1,0.00175
0,800,-1,0.001775
0,800,-1,0.00165
0,800,-1,0.001587
0,800,-1,0.0018
0,800,-1,0.0019
0,800,-1,0.001788
0,900,-1,0.001625
0,900,-1,0.001688
0,900,-1,0.0021
0,900,-1,0.0018
0,900,-1,0.001825
0,900,-1,0.001675
0,900,-1,0.001813
0,900,-1,0.001612
0,900,-1,0.002237
0,900,-1,0.002088
0,900,-1,0.001937
0,900,-1,0.002713
0,900,-1,0.002288
0,900,-1,0.001875
0,900,-1,0.0023
0,900,-1,0.002213
0,900,-1,0.002025
0,900,-1,0.001688
0,900,-1,0.001625
0,900,-1,0.001662
0,1000,-1,0.001788
0,1000,-1,0.00205
0,1000,-1,0.0021
0,1000,-1,0.001675
0,1000,-1,0.001787
0,1000,-1,0.001888
0,1000,-1,0.001875
0,1000,-1,0.001737
0,1000,-1,0.002013
0,1000,-1,0.001687
0,1000,-1,0.001912
0,1000,-1,0.001925
0,1000,-1,0.001912
0,1000,-1,0.0029
0,1000,-1,0.002013
0,1000,-1,0.001988
0,1000,-1,0.00185
0,1000,-1,0.001788
0,1000,-1,0.001763
0,1000,-1,0.001763
100,0,0,0.159128
100,0,0,0.156402
100,0,0,0.158527
100,0,0,0.179553
100,0,0,0.198953
100,0,0,0.180503
100,0,0,0.159639
100,0,0,0.166303
100,0,0,0.155527
100,0,0,0.173765
100,0,0,0.174552
100,0,0,0.150403
100,0,0,0.165228
100,0,0,0.251279
100,0,0,0.209041
100,0,0,0.15149
100,0,0,0.169102
100,0,0,0.270754
100,0,0,0.184215
100,0,0,0.407256
100,100,38,9.03208
100,100,38,8.13123
100,100,38,7.75235
100,100,38,7.59575
