n,V,resultado,tiempo (fuerzabruta)
0,100,-1,0.010263
0,100,-1,0.009863
0,110,-1,0.011538
0,110,-1,0.010375
0,110,-1,0.010562
0,110,-1,0.010338
0,110,-1,0.024088
0,110,-1,0.010738
0,110,-1,0.010363
0,110,-1,0.010925
0,110,-1,0.011688
0,110,-1,0.0094
0,110,-1,0.026138
0,110,-1,0.010088
0,110,-1,0.009388
0,110,-1,0.010075
0,110,-1,0.010088
0,110,-1,0.011225
0,110,-1,0.009875
0,110,-1,0.009788
0,110,-1,0.010287
0,110,-1,0.010187
0,120,-1,0.011763
0,120,-1,0.01015
0,120,-1,0.011462
0,120,-1,0.010388
0,120,-1,0.010075
0,120,-1,0.010437
0,120,-1,0.011113
0,120,-1,0.00975
0,120,-1,0.0116
0,120,-1,0.012187
0,120,-1,0.010576
0,120,-1,0.009738
0,120,-1,0.00975
0,120,-1,0.011037
0,120,-1,0.012201
0,120,-1,0.00915
0,120,-1,0.010263
0,120,-1,0.010575
0,120,-1,0.009925
0,120,-1,0.011162
0,130,-1,0.010275
0,130,-1,0.010338
0,130,-1,0.009513
0,130,-1,0.011113
0,130,-1,0.010875
0,130,-1,0.010238
0,130,-1,0.009713
0,130,-1,0.010025
0,130,-1,0.00965
0,130,-1,0.009975
0,130,-1,0.011275
0,130,-1,0.009875
0,130,-1,0.026863
0,130,-1,0.010863
0,130,-1,0.009575
0,130,-1,0.026588
0,130,-1,0.01035
0,130,-1,0.010475
0,130,-1,0.009275
0,130,-1,0.01005
0,140,-1,0.0104
0,140,-1,0.009538
0,140,-1,0.00975
0,140,-1,0.010738
0,140,-1,0.011363
0,140,-1,0.009901
0,140,-1,0.010113
0,140,-1,0.011313
0,140,-1,0.010038
0,140,-1,0.010662
0,140,-1,0.0097
0,140,-1,0.010638
0,140,-1,0.010501
0,140,-1,0.010138
0,140,-1,0.010438
0,140,-1,0.010225
0,140,-1,0.0144
0,140,-1,0.025726
0,140,-1,0.012337
0,140,-1,0.010325
0,150,-1,0.011663
0,150,-1,0.009712
0,150,-1,0.01355
0,150,-1,0.009875
0,150,-1,0.009787
0,150,-1,0.0106
0,150,-1,0.00995
0,150,-1,0.009863
0,150,-1,0.010162
0,150,-1,0.010025
0,150,-1,0.0102
0,150,-1,0.010037
0,150,-1,0.010825
