n,V,resultado,tiempo (backtracking)
1,170,-1,0.022438
1,170,-1,0.141052
1,170,-1,0.023938
1,170,-1,0.021275
1,170,-1,0.013675
1,170,-1,0.020513
1,170,-1,0.0151
1,180,-1,0.017851
1,180,-1,0.019075
1,180,-1,0.014437
1,180,-1,0.018226
1,180,-1,0.018787
1,180,-1,0.0212
1,180,-1,0.013337
1,180,-1,0.013063
1,180,-1,0.0155
1,180,-1,0.022113
1,180,-1,0.015262
1,180,-1,0.020588
1,180,-1,0.01765
1,180,-1,0.022838
1,180,-1,0.01875
1,180,-1,0.021476
1,180,-1,0.020688
1,180,-1,0.017388
1,180,-1,0.01395
1,180,-1,0.019888
1,190,-1,0.020763
1,190,-1,0.023413
1,190,-1,0.095502
1,190,-1,0.02185
1,190,-1,0.013776
1,190,-1,0.391656
1,190,-1,0.021513
1,190,-1,0.018013
1,190,-1,0.022687
1,190,-1,0.019388
1,190,-1,0.015638
1,190,-1,0.022063
1,190,-1,0.023213
1,190,-1,0.024588
1,190,-1,0.015475
1,190,-1,0.021438
1,190,-1,0.0206
1,190,-1,0.02265
1,190,-1,0.014525
1,190,-1,0.021587
1,200,-1,0.022363
1,200,-1,0.014375
1,200,-1,0.015213
1,200,-1,0.0237
1,200,-1,0.014875
1,200,-1,0.01575
1,200,-1,0.018012
1,200,-1,0.014751
1,200,-1,0.013988
1,200,-1,0.020013
1,200,-1,0.075926
1,200,-1,0.014463
1,200,-1,0.021651
1,200,-1,0.021163
1,200,-1,0.022875
1,200,-1,0.105401
1,200,-1,0.020787
1,200,-1,0.014225
1,200,-1,0.014
1,200,-1,0.021012
2,0,0,0.018576
2,0,0,0.018263
2,0,0,0.069051
2,0,0,0.026238
2,0,0,0.017563
2,0,0,0.021375
2,0,0,0.019325
2,0,0,0.02565
2,0,0,0.025751
2,0,0,0.023588
2,0,0,0.024813
2,0,0,0.02355
2,0,0,0.025038
2,0,0,0.018726
2,0,0,0.026825
2,0,0,0.018313
2,0,0,0.022525
2,0,0,0.0245
2,0,0,0.024563
2,0,0,0.030138
2,10,2,0.026638
2,10,2,0.020263
2,10,2,0.01895
2,10,2,0.019313
2,10,2,0.025688
2,10,2,0.020638
