n,V,resultado,tiempo
2,170,-1,0.025426
2,170,-1,0.033013
2,170,-1,0.017688
2,180,-1,0.026575
2,180,-1,0.035188
2,180,-1,0.026863
2,180,-1,0.022612
2,180,-1,0.023938
2,180,-1,0.0314
2,180,-1,0.032138
2,180,-1,0.031513
2,180,-1,0.028888
2,180,-1,0.034926
2,180,-1,0.030701
2,180,-1,0.03185
2,180,-1,0.018762
2,180,-1,0.021251
2,180,-1,0.025263
2,180,-1,0.02625
2,180,-1,0.020138
2,180,-1,0.029113
2,180,-1,0.017262
2,180,-1,0.028825
2,190,-1,0.028163
2,190,-1,0.0186
2,190,-1,0.028663
2,190,-1,0.022137
2,190,-1,0.019875
2,190,-1,0.028851
2,190,-1,0.023063
2,190,-1,0.026113
2,190,-1,0.024601
2,190,-1,0.02975
2,190,-1,0.018988
2,190,-1,0.020263
2,190,-1,0.028063
2,190,-1,0.030313
2,190,-1,0.027962
2,190,-1,0.024825
2,190,-1,0.03005
2,190,-1,0.032363
2,190,-1,0.040075
2,190,-1,0.032876
2,200,-1,0.018313
2,200,-1,0.026426
2,200,-1,0.025775
2,200,-1,0.027763
2,200,-1,0.017738
2,200,-1,0.018888
2,200,-1,0.025325
2,200,-1,0.0275
2,200,-1,0.028213
2,200,-1,0.025425
2,200,-1,0.037276
2,200,-1,0.0235
2,200,-1,0.024226
2,200,-1,0.021963
2,200,-1,0.027713
2,200,-1,0.019812
2,200,-1,0.027575
2,200,-1,0.032163
2,200,-1,0.025588
2,200,-1,0.031225
3,0,0,0.034838
3,0,0,0.039489
3,0,0,0.036675
3,0,0,0.036238
3,0,0,0.047476
3,0,0,0.033688
3,0,0,0.031225
3,0,0,0.043726
3,0,0,0.039613
3,0,0,0.037863
3,0,0,0.038675
3,0,0,0.040513
3,0,0,0.041188
3,0,0,0.042626
3,0,0,0.036151
3,0,0,0.049388
3,0,0,0.035125
3,0,0,0.049075
3,0,0,0.036751
3,0,0,0.029876
3,10,1,0.0338
3,10,1,0.037838
3,10,1,0.03895
3,10,1,0.034601
3,10,1,0.033288
3,10,1,0.029625
3,10,1,0.029213
3,10,1,0.029775
3,10,1,0.037425
3,10,1,0.043314
3,10,1,0.040888
3,10,1,0.037526
3,10,1,0.037788
3,10,1,0.046775
3,10,1,0.038625
3,10,1,0.041151
3,10,1,0.037425
3,10,1,0.02945
3,10,1,0.043288
3,10,1,0.047926
3,20,2,0.043889
3,20,2,0.039563
3,20,2,0.039775
3,20,2,0.037263
3,20,2,0.037913
3,20,2,0.0318
3,20,2,0.032551
3,20,2,0.037926
3,20,2,0.031226
3,20,2,0.03665
3,20,2,0.042401
3,20,2,0.0309
3,20,2,0.032838
3,20,2,0.041463
3,20,2,0.038438
3,20,2,0.038788
3,20,2,0.038563
3,20,2,0.030462
3,20,2,0.032238
