n,V,resultado,tiempo (programaciondinamica)
16,200,2,0.6713521
17,10,1,0.15307
17,20,1,0.2748397
17,30,1,0.37303325
17,40,2,0.3829893
17,50,2,0.33406655
17,60,2,0.3497375
17,70,2,0.49787615
17,80,2,0.4024445
17,90,3,0.42079715
17,100,3,0.45173995
17,110,2,1.4981934
17,120,2,0.7488148
17,130,1,0.4895999
17,140,2,0.94842335
17,150,2,0.48635775
17,160,3,0.3343991
17,170,2,0.33936985
17,180,2,0.3271203
17,190,4,0.3932181
17,200,3,1.3946082
18,10,1,0.1515688
18,20,1,0.57637495
18,30,1,0.26505675
18,40,2,0.32381665
18,50,2,0.4911173
18,60,2,0.56945855
18,70,2,0.5207058
18,80,3,0.3410837
18,90,2,0.82978475
18,100,2,0.93090845
18,110,2,0.66781745
18,120,1,0.9910101
18,130,2,1.20969005
18,140,2,0.5152519
18,150,1,0.3693652
18,160,1,0.5225354
18,170,1,1.0134563
18,180,3,0.4377741
18,190,2,0.7640139
18,200,3,0.8166441
19,10,1,0.17754795
19,20,1,0.27698195
19,30,1,0.34090935
19,40,1,0.7511218
19,50,2,0.9861647
19,60,1,0.34461545
19,70,2,0.6101716
19,80,1,0.5019912
19,90,2,1.0275401
19,100,2,0.83472085
19,110,2,1.0521727
19,120,3,0.83322405
19,130,2,0.94580595
19,140,2,1.10460125
19,150,3,0.5873376
19,160,3,1.0649051
19,170,2,1.04159785
19,180,2,0.9845274
19,190,3,0.86328275
19,200,3,1.06161715
20,10,1,0.1824692
20,20,1,0.4212513
20,30,1,0.2442296
20,40,1,0.6098643
20,50,1,0.50576235
20,60,1,0.67429415
20,70,3,0.70678655
20,80,2,0.99398385
20,90,1,0.65996785
20,100,2,1.27236875
20,110,1,0.4294344
20,120,2,1.2945703
20,130,2,1.2169905
20,140,2,0.8868283
20,150,2,1.08375275
20,160,3,1.0669508
20,170,3,1.1966
20,180,2,0.87535765
20,190,2,2.3048069
20,200,3,2.267211
21,10,2,0.60511405
21,20,1,0.2979924
21,30,1,0.3859019
