n,V,resultado,tiempo (fuerzabruta)
19,110,2,3715.3545
19,120,1,3706.833
19,130,3,3713.964
19,140,2,3734.8785
19,150,3,3745.046
19,160,3,3780.561
19,170,2,3749.224
19,180,3,3743.3845
19,190,2,3749.044
19,200,3,3730.328
20,10,1,7727.109
20,20,1,7717.6825
20,30,1,7758.6645
20,40,2,7750.531
20,50,2,7750.229
20,60,2,7720.8865
20,70,2,7735.2975
20,80,1,7738.4615
20,90,2,7728.7795
20,100,2,7724.1565
20,110,2,7675.0285
20,120,2,7709.687
20,130,2,7743.218
20,140,3,7750.9085
20,150,2,7827.5005
20,160,2,7737.377
20,170,2,7697.4855
20,180,3,7724.586
20,190,2,7756.259
20,200,2,7771.6375
21,10,1,16038.43
21,20,1,16053.31
21,30,1,15913.25
21,40,1,15973.795
21,50,2,15947.435
21,60,2,15918.885
21,70,1,16026.59
21,80,2,16069.685
21,90,2,16247.73
21,100,1,15943.65
21,110,2,16032.19
21,120,2,16009.785
21,130,2,15906.97
21,140,3,15913.555
21,150,2,15899.165
21,160,2,15981.36
21,170,2,15982.94
21,180,1,15905.645
21,190,2,15934.89
21,200,2,15860.69
22,10,1,32787.9
22,20,1,32811.69
22,30,2,32812.705
22,40,1,32916.41
22,50,1,33120.8
22,60,2,32811.195
22,70,2,32850.26
22,80,2,33023.8
22,90,3,32877.75
22,100,1,32820.595
22,110,2,32758.19
22,120,2,32808.8
22,130,2,32992.22
22,140,2,32808.595
22,150,3,33080.04
22,160,1,33080.555
22,170,3,32777.93
22,180,2,32905.445
22,190,2,33188.31
22,200,2,32867.705
23,10,1,67654.725
23,20,1,67903.915
23,30,1,68008.02
23,40,1,70934.38
23,50,1,69008.865
23,60,1,67962.71
23,70,2,67775.865
23,80,2,67940.2
23,90,1,67755.995
23,100,2,67743.38
23,110,2,67763.25
23,120,3,67793.21
23,130,2,68041.07
23,140,3,68005.95
23,150,2,67633.23
23,160,2,67670.95
23,170,2,68007.695
23,180,2,68363.275
23,190,1,67998.065
23,200,2,67584.56
